Set,K,E,TA,%,team,Date,Time,Site,Attendance,url
Set #1,12,3,40,0.225,St. Lawrence,2021-09-03,17:28:00,"                 Cortland, NY (Whitney T. Corey Gym)

",169,https://saintsathletics.com/boxscore.aspx?id=22685&path=wvball
Set #2,8,9,38,-0.026,St. Lawrence,2021-09-03,17:28:00,"                 Cortland, NY (Whitney T. Corey Gym)

",169,https://saintsathletics.com/boxscore.aspx?id=22685&path=wvball
Set #3,9,6,26,0.115,St. Lawrence,2021-09-03,17:28:00,"                 Cortland, NY (Whitney T. Corey Gym)

",169,https://saintsathletics.com/boxscore.aspx?id=22685&path=wvball
Set #4,3,8,24,-0.208,St. Lawrence,2021-09-03,17:28:00,"                 Cortland, NY (Whitney T. Corey Gym)

",169,https://saintsathletics.com/boxscore.aspx?id=22685&path=wvball
Set #1,8,6,36,0.056,Nazareth,2021-09-03,17:28:00,"                 Cortland, NY (Whitney T. Corey Gym)

",169,https://saintsathletics.com/boxscore.aspx?id=22685&path=wvball
Set #2,11,10,39,0.026,Nazareth,2021-09-03,17:28:00,"                 Cortland, NY (Whitney T. Corey Gym)

",169,https://saintsathletics.com/boxscore.aspx?id=22685&path=wvball
Set #3,11,3,24,0.333,Nazareth,2021-09-03,17:28:00,"                 Cortland, NY (Whitney T. Corey Gym)

",169,https://saintsathletics.com/boxscore.aspx?id=22685&path=wvball
Set #4,10,8,33,0.061,Nazareth,2021-09-03,17:28:00,"                 Cortland, NY (Whitney T. Corey Gym)

",169,https://saintsathletics.com/boxscore.aspx?id=22685&path=wvball
Set #1,10,4,30,.200,Clarkson University,2021-09-03,18:48:00,"                  ()

",103,https://clarksonathletics.com/boxscore.aspx?id=7968&path=vball
Set #2,12,8,34,.118,Clarkson University,2021-09-03,18:48:00,"                  ()

",103,https://clarksonathletics.com/boxscore.aspx?id=7968&path=vball
Set #3,12,2,41,.244,Clarkson University,2021-09-03,18:48:00,"                  ()

",103,https://clarksonathletics.com/boxscore.aspx?id=7968&path=vball
Set #4,8,8,37,.000,Clarkson University,2021-09-03,18:48:00,"                  ()

",103,https://clarksonathletics.com/boxscore.aspx?id=7968&path=vball
Set #1,9,7,39,.051,Va. Wesleyan,2021-09-03,18:48:00,"                  ()

",103,https://clarksonathletics.com/boxscore.aspx?id=7968&path=vball
Set #2,15,5,35,.286,Va. Wesleyan,2021-09-03,18:48:00,"                  ()

",103,https://clarksonathletics.com/boxscore.aspx?id=7968&path=vball
Set #3,21,7,50,.280,Va. Wesleyan,2021-09-03,18:48:00,"                  ()

",103,https://clarksonathletics.com/boxscore.aspx?id=7968&path=vball
Set #4,13,6,40,.175,Va. Wesleyan,2021-09-03,18:48:00,"                  ()

",103,https://clarksonathletics.com/boxscore.aspx?id=7968&path=vball
Set #1,12,4,29,.276,Mary Washington,2021-09-03,15:03:00,"                  ()

",109,https://clarksonathletics.com/boxscore.aspx?id=7967&path=vball
Set #2,16,8,51,.157,Mary Washington,2021-09-03,15:03:00,"                  ()

",109,https://clarksonathletics.com/boxscore.aspx?id=7967&path=vball
Set #3,10,7,29,.103,Mary Washington,2021-09-03,15:03:00,"                  ()

",109,https://clarksonathletics.com/boxscore.aspx?id=7967&path=vball
Set #1,9,10,35,-.029,Clarkson University,2021-09-03,15:03:00,"                  ()

",109,https://clarksonathletics.com/boxscore.aspx?id=7967&path=vball
Set #2,17,10,58,.121,Clarkson University,2021-09-03,15:03:00,"                  ()

",109,https://clarksonathletics.com/boxscore.aspx?id=7967&path=vball
Set #3,4,9,31,-.161,Clarkson University,2021-09-03,15:03:00,"                  ()

",109,https://clarksonathletics.com/boxscore.aspx?id=7967&path=vball
Set #1,16,9,41,.171,Illinois Wesleyan,2021-09-04,10:00:00,"                 Newport News, Va. (Freeman Center)

",0,https://clarksonathletics.com/boxscore.aspx?id=7969&path=vball
Set #2,15,4,41,.268,Illinois Wesleyan,2021-09-04,10:00:00,"                 Newport News, Va. (Freeman Center)

",0,https://clarksonathletics.com/boxscore.aspx?id=7969&path=vball
Set #3,12,9,41,.073,Illinois Wesleyan,2021-09-04,10:00:00,"                 Newport News, Va. (Freeman Center)

",0,https://clarksonathletics.com/boxscore.aspx?id=7969&path=vball
Set #4,9,7,35,.057,Illinois Wesleyan,2021-09-04,10:00:00,"                 Newport News, Va. (Freeman Center)

",0,https://clarksonathletics.com/boxscore.aspx?id=7969&path=vball
Set #1,13,3,38,.263,Clarkson University,2021-09-04,10:00:00,"                 Newport News, Va. (Freeman Center)

",0,https://clarksonathletics.com/boxscore.aspx?id=7969&path=vball
Set #2,16,6,42,.238,Clarkson University,2021-09-04,10:00:00,"                 Newport News, Va. (Freeman Center)

",0,https://clarksonathletics.com/boxscore.aspx?id=7969&path=vball
Set #3,10,7,32,.094,Clarkson University,2021-09-04,10:00:00,"                 Newport News, Va. (Freeman Center)

",0,https://clarksonathletics.com/boxscore.aspx?id=7969&path=vball
Set #4,13,4,30,.300,Clarkson University,2021-09-04,10:00:00,"                 Newport News, Va. (Freeman Center)

",0,https://clarksonathletics.com/boxscore.aspx?id=7969&path=vball
Set #1,9,7,37,.054,Clarkson University,2021-09-04,12:00:00,"                 Newport News, Va. (Freeman Center)

",0,https://clarksonathletics.com/boxscore.aspx?id=7970&path=vball
Set #2,8,3,29,.172,Clarkson University,2021-09-04,12:00:00,"                 Newport News, Va. (Freeman Center)

",0,https://clarksonathletics.com/boxscore.aspx?id=7970&path=vball
Set #3,9,1,35,.229,Clarkson University,2021-09-04,12:00:00,"                 Newport News, Va. (Freeman Center)

",0,https://clarksonathletics.com/boxscore.aspx?id=7970&path=vball
Set #4,11,7,35,.114,Clarkson University,2021-09-04,12:00:00,"                 Newport News, Va. (Freeman Center)

",0,https://clarksonathletics.com/boxscore.aspx?id=7970&path=vball
Set #1,11,5,37,.162,Chris. Newport,2021-09-04,12:00:00,"                 Newport News, Va. (Freeman Center)

",0,https://clarksonathletics.com/boxscore.aspx?id=7970&path=vball
Set #2,20,3,36,.472,Chris. Newport,2021-09-04,12:00:00,"                 Newport News, Va. (Freeman Center)

",0,https://clarksonathletics.com/boxscore.aspx?id=7970&path=vball
Set #3,13,11,44,.045,Chris. Newport,2021-09-04,12:00:00,"                 Newport News, Va. (Freeman Center)

",0,https://clarksonathletics.com/boxscore.aspx?id=7970&path=vball
Set #4,13,6,34,.206,Chris. Newport,2021-09-04,12:00:00,"                 Newport News, Va. (Freeman Center)

",0,https://clarksonathletics.com/boxscore.aspx?id=7970&path=vball
Set #1,3,4,31,-.032,Plattsburgh State,2021-09-10,16:00:00,"                 Unknown ()

",120,https://clarksonathletics.com/boxscore.aspx?id=7971&path=vball
Set #2,11,4,27,.259,Plattsburgh State,2021-09-10,16:00:00,"                 Unknown ()

",120,https://clarksonathletics.com/boxscore.aspx?id=7971&path=vball
Set #3,6,4,37,.054,Plattsburgh State,2021-09-10,16:00:00,"                 Unknown ()

",120,https://clarksonathletics.com/boxscore.aspx?id=7971&path=vball
Set #1,15,5,37,.270,Clarkson University,2021-09-10,16:00:00,"                 Unknown ()

",120,https://clarksonathletics.com/boxscore.aspx?id=7971&path=vball
Set #2,15,5,34,.294,Clarkson University,2021-09-10,16:00:00,"                 Unknown ()

",120,https://clarksonathletics.com/boxscore.aspx?id=7971&path=vball
Set #3,17,3,34,.412,Clarkson University,2021-09-10,16:00:00,"                 Unknown ()

",120,https://clarksonathletics.com/boxscore.aspx?id=7971&path=vball
Set #1,14,7,52,.135,St. John Fisher,2021-09-10,20:00:00,"                 Potsdam, NY (Alumni Gymnasium)

",270,https://clarksonathletics.com/boxscore.aspx?id=7995&path=vball
Set #2,11,3,39,.205,St. John Fisher,2021-09-10,20:00:00,"                 Potsdam, NY (Alumni Gymnasium)

",270,https://clarksonathletics.com/boxscore.aspx?id=7995&path=vball
Set #3,8,4,38,.105,St. John Fisher,2021-09-10,20:00:00,"                 Potsdam, NY (Alumni Gymnasium)

",270,https://clarksonathletics.com/boxscore.aspx?id=7995&path=vball
Set #4,9,9,47,.000,St. John Fisher,2021-09-10,20:00:00,"                 Potsdam, NY (Alumni Gymnasium)

",270,https://clarksonathletics.com/boxscore.aspx?id=7995&path=vball
Set #1,15,11,62,.065,Clarkson University,2021-09-10,20:00:00,"                 Potsdam, NY (Alumni Gymnasium)

",270,https://clarksonathletics.com/boxscore.aspx?id=7995&path=vball
Set #2,15,4,44,.250,Clarkson University,2021-09-10,20:00:00,"                 Potsdam, NY (Alumni Gymnasium)

",270,https://clarksonathletics.com/boxscore.aspx?id=7995&path=vball
Set #3,13,7,45,.133,Clarkson University,2021-09-10,20:00:00,"                 Potsdam, NY (Alumni Gymnasium)

",270,https://clarksonathletics.com/boxscore.aspx?id=7995&path=vball
Set #4,12,7,52,.096,Clarkson University,2021-09-10,20:00:00,"                 Potsdam, NY (Alumni Gymnasium)

",270,https://clarksonathletics.com/boxscore.aspx?id=7995&path=vball
Set #1,13,6,43,.163,Oswego State,2021-09-11,NA,"                 Potsdam, NY (Alumni Gymnasium)

",110,https://clarksonathletics.com/boxscore.aspx?id=7972&path=vball
Set #2,12,3,42,.214,Oswego State,2021-09-11,NA,"                 Potsdam, NY (Alumni Gymnasium)

",110,https://clarksonathletics.com/boxscore.aspx?id=7972&path=vball
Set #3,3,7,21,-.190,Oswego State,2021-09-11,NA,"                 Potsdam, NY (Alumni Gymnasium)

",110,https://clarksonathletics.com/boxscore.aspx?id=7972&path=vball
Set #1,16,2,44,.318,Clarkson University,2021-09-11,NA,"                 Potsdam, NY (Alumni Gymnasium)

",110,https://clarksonathletics.com/boxscore.aspx?id=7972&path=vball
Set #2,15,7,47,.170,Clarkson University,2021-09-11,NA,"                 Potsdam, NY (Alumni Gymnasium)

",110,https://clarksonathletics.com/boxscore.aspx?id=7972&path=vball
Set #3,13,3,24,.417,Clarkson University,2021-09-11,NA,"                 Potsdam, NY (Alumni Gymnasium)

",110,https://clarksonathletics.com/boxscore.aspx?id=7972&path=vball
Set #1,8,4,30,0.133,SUNY Oneonta,2021-09-11,14:08:00,"                 Potsdam, NY (Alumni Gymnasium)

",75,https://clarksonathletics.com/boxscore.aspx?id=7993&path=vball
Set #2,8,5,27,0.111,SUNY Oneonta,2021-09-11,14:08:00,"                 Potsdam, NY (Alumni Gymnasium)

",75,https://clarksonathletics.com/boxscore.aspx?id=7993&path=vball
Set #3,3,7,23,-0.174,SUNY Oneonta,2021-09-11,14:08:00,"                 Potsdam, NY (Alumni Gymnasium)

",75,https://clarksonathletics.com/boxscore.aspx?id=7993&path=vball
Set #1,12,2,27,0.37,Clarkson,2021-09-11,14:08:00,"                 Potsdam, NY (Alumni Gymnasium)

",75,https://clarksonathletics.com/boxscore.aspx?id=7993&path=vball
Set #2,12,3,28,0.321,Clarkson,2021-09-11,14:08:00,"                 Potsdam, NY (Alumni Gymnasium)

",75,https://clarksonathletics.com/boxscore.aspx?id=7993&path=vball
Set #3,12,9,31,0.097,Clarkson,2021-09-11,14:08:00,"                 Potsdam, NY (Alumni Gymnasium)

",75,https://clarksonathletics.com/boxscore.aspx?id=7993&path=vball
Set #1,8,2,22,0.273,Clarkson,2021-09-17,19:12:00,"                 Hoboken, NJ (Canavan Arena)

",115,https://clarksonathletics.com/boxscore.aspx?id=7973&path=vball
Set #2,11,6,31,0.161,Clarkson,2021-09-17,19:12:00,"                 Hoboken, NJ (Canavan Arena)

",115,https://clarksonathletics.com/boxscore.aspx?id=7973&path=vball
Set #3,6,2,25,0.16,Clarkson,2021-09-17,19:12:00,"                 Hoboken, NJ (Canavan Arena)

",115,https://clarksonathletics.com/boxscore.aspx?id=7973&path=vball
Set #4,15,7,40,0.2,Clarkson,2021-09-17,19:12:00,"                 Hoboken, NJ (Canavan Arena)

",115,https://clarksonathletics.com/boxscore.aspx?id=7973&path=vball
Set #1,6,11,30,-0.167,Stevens,2021-09-17,19:12:00,"                 Hoboken, NJ (Canavan Arena)

",115,https://clarksonathletics.com/boxscore.aspx?id=7973&path=vball
Set #2,10,7,31,0.097,Stevens,2021-09-17,19:12:00,"                 Hoboken, NJ (Canavan Arena)

",115,https://clarksonathletics.com/boxscore.aspx?id=7973&path=vball
Set #3,15,4,39,0.282,Stevens,2021-09-17,19:12:00,"                 Hoboken, NJ (Canavan Arena)

",115,https://clarksonathletics.com/boxscore.aspx?id=7973&path=vball
Set #4,14,3,34,0.324,Stevens,2021-09-17,19:12:00,"                 Hoboken, NJ (Canavan Arena)

",115,https://clarksonathletics.com/boxscore.aspx?id=7973&path=vball
Set #1,15,4,35,0.314,Clarkson,2021-09-18,13:05:00,"                 Hoboken, NJ (Canavan Arena)

",50,https://clarksonathletics.com/boxscore.aspx?id=7974&path=vball
Set #2,10,8,40,0.05,Clarkson,2021-09-18,13:05:00,"                 Hoboken, NJ (Canavan Arena)

",50,https://clarksonathletics.com/boxscore.aspx?id=7974&path=vball
Set #3,11,6,33,0.152,Clarkson,2021-09-18,13:05:00,"                 Hoboken, NJ (Canavan Arena)

",50,https://clarksonathletics.com/boxscore.aspx?id=7974&path=vball
Set #4,14,8,43,0.14,Clarkson,2021-09-18,13:05:00,"                 Hoboken, NJ (Canavan Arena)

",50,https://clarksonathletics.com/boxscore.aspx?id=7974&path=vball
Set #1,8,4,34,0.118,Scranton,2021-09-18,13:05:00,"                 Hoboken, NJ (Canavan Arena)

",50,https://clarksonathletics.com/boxscore.aspx?id=7974&path=vball
Set #2,14,4,39,0.256,Scranton,2021-09-18,13:05:00,"                 Hoboken, NJ (Canavan Arena)

",50,https://clarksonathletics.com/boxscore.aspx?id=7974&path=vball
Set #3,12,4,34,0.235,Scranton,2021-09-18,13:05:00,"                 Hoboken, NJ (Canavan Arena)

",50,https://clarksonathletics.com/boxscore.aspx?id=7974&path=vball
Set #4,13,0,35,0.371,Scranton,2021-09-18,13:05:00,"                 Hoboken, NJ (Canavan Arena)

",50,https://clarksonathletics.com/boxscore.aspx?id=7974&path=vball
Set #1,11,6,45,0.111,Stockton,2021-09-18,15:36:00,"                  ()

",30,https://clarksonathletics.com/boxscore.aspx?id=7975&path=vball
Set #2,6,6,28,0,Stockton,2021-09-18,15:36:00,"                  ()

",30,https://clarksonathletics.com/boxscore.aspx?id=7975&path=vball
Set #3,13,2,33,0.333,Stockton,2021-09-18,15:36:00,"                  ()

",30,https://clarksonathletics.com/boxscore.aspx?id=7975&path=vball
Set #4,16,3,42,0.31,Stockton,2021-09-18,15:36:00,"                  ()

",30,https://clarksonathletics.com/boxscore.aspx?id=7975&path=vball
Set #1,16,2,43,0.326,Clarkson,2021-09-18,15:36:00,"                  ()

",30,https://clarksonathletics.com/boxscore.aspx?id=7975&path=vball
Set #2,13,4,31,0.29,Clarkson,2021-09-18,15:36:00,"                  ()

",30,https://clarksonathletics.com/boxscore.aspx?id=7975&path=vball
Set #3,14,6,33,0.242,Clarkson,2021-09-18,15:36:00,"                  ()

",30,https://clarksonathletics.com/boxscore.aspx?id=7975&path=vball
Set #4,19,3,42,0.381,Clarkson,2021-09-18,15:36:00,"                  ()

",30,https://clarksonathletics.com/boxscore.aspx?id=7975&path=vball
Set #1,10,6,38,0.105,Clarkson,2021-09-24,15:57:00,"                 Rochester, NY (Clark Memorial Gymnasium)

",205,https://clarksonathletics.com/boxscore.aspx?id=7976&path=vball
Set #2,14,6,39,0.205,Clarkson,2021-09-24,15:57:00,"                 Rochester, NY (Clark Memorial Gymnasium)

",205,https://clarksonathletics.com/boxscore.aspx?id=7976&path=vball
Set #3,9,2,28,0.25,Clarkson,2021-09-24,15:57:00,"                 Rochester, NY (Clark Memorial Gymnasium)

",205,https://clarksonathletics.com/boxscore.aspx?id=7976&path=vball
Set #4,13,8,35,0.143,Clarkson,2021-09-24,15:57:00,"                 Rochester, NY (Clark Memorial Gymnasium)

",205,https://clarksonathletics.com/boxscore.aspx?id=7976&path=vball
Set #5,6,4,27,0.074,Clarkson,2021-09-24,15:57:00,"                 Rochester, NY (Clark Memorial Gymnasium)

",205,https://clarksonathletics.com/boxscore.aspx?id=7976&path=vball
Set #1,19,4,40,0.375,RIT,2021-09-24,15:57:00,"                 Rochester, NY (Clark Memorial Gymnasium)

",205,https://clarksonathletics.com/boxscore.aspx?id=7976&path=vball
Set #2,15,2,26,0.5,RIT,2021-09-24,15:57:00,"                 Rochester, NY (Clark Memorial Gymnasium)

",205,https://clarksonathletics.com/boxscore.aspx?id=7976&path=vball
Set #3,13,7,28,0.214,RIT,2021-09-24,15:57:00,"                 Rochester, NY (Clark Memorial Gymnasium)

",205,https://clarksonathletics.com/boxscore.aspx?id=7976&path=vball
Set #4,11,6,33,0.152,RIT,2021-09-24,15:57:00,"                 Rochester, NY (Clark Memorial Gymnasium)

",205,https://clarksonathletics.com/boxscore.aspx?id=7976&path=vball
Set #5,10,4,30,0.2,RIT,2021-09-24,15:57:00,"                 Rochester, NY (Clark Memorial Gymnasium)

",205,https://clarksonathletics.com/boxscore.aspx?id=7976&path=vball
Set #1,14,3,31,.355,Ithaca College,2021-09-25,16:00:00,"                 Potsdam, NY (Alumni Gymnasium)

",140,https://clarksonathletics.com/boxscore.aspx?id=7977&path=vball
Set #2,14,5,35,.257,Ithaca College,2021-09-25,16:00:00,"                 Potsdam, NY (Alumni Gymnasium)

",140,https://clarksonathletics.com/boxscore.aspx?id=7977&path=vball
Set #3,13,6,36,.194,Ithaca College,2021-09-25,16:00:00,"                 Potsdam, NY (Alumni Gymnasium)

",140,https://clarksonathletics.com/boxscore.aspx?id=7977&path=vball
Set #1,9,5,34,.118,Clarkson University,2021-09-25,16:00:00,"                 Potsdam, NY (Alumni Gymnasium)

",140,https://clarksonathletics.com/boxscore.aspx?id=7977&path=vball
Set #2,9,6,31,.097,Clarkson University,2021-09-25,16:00:00,"                 Potsdam, NY (Alumni Gymnasium)

",140,https://clarksonathletics.com/boxscore.aspx?id=7977&path=vball
Set #3,12,9,41,.073,Clarkson University,2021-09-25,16:00:00,"                 Potsdam, NY (Alumni Gymnasium)

",140,https://clarksonathletics.com/boxscore.aspx?id=7977&path=vball
Set #1,6,5,36,0.028,St. Lawrence,2021-10-01,18:06:00,"                 Potsdam, NY (Alumni Gymnasium)

",111,https://clarksonathletics.com/boxscore.aspx?id=7978&path=vball
Set #2,7,4,45,0.067,St. Lawrence,2021-10-01,18:06:00,"                 Potsdam, NY (Alumni Gymnasium)

",111,https://clarksonathletics.com/boxscore.aspx?id=7978&path=vball
Set #3,13,2,48,0.229,St. Lawrence,2021-10-01,18:06:00,"                 Potsdam, NY (Alumni Gymnasium)

",111,https://clarksonathletics.com/boxscore.aspx?id=7978&path=vball
Set #1,13,7,38,0.158,Clarkson,2021-10-01,18:06:00,"                 Potsdam, NY (Alumni Gymnasium)

",111,https://clarksonathletics.com/boxscore.aspx?id=7978&path=vball
Set #2,14,5,54,0.167,Clarkson,2021-10-01,18:06:00,"                 Potsdam, NY (Alumni Gymnasium)

",111,https://clarksonathletics.com/boxscore.aspx?id=7978&path=vball
Set #3,19,2,51,0.333,Clarkson,2021-10-01,18:06:00,"                 Potsdam, NY (Alumni Gymnasium)

",111,https://clarksonathletics.com/boxscore.aspx?id=7978&path=vball
Set #1,10,10,38,0,Endicott,2021-10-02,13:31:00,"                 Middlebury, VT (Pepin Gymnasium)

",50,https://clarksonathletics.com/boxscore.aspx?id=7979&path=vball
Set #2,13,11,38,0.053,Endicott,2021-10-02,13:31:00,"                 Middlebury, VT (Pepin Gymnasium)

",50,https://clarksonathletics.com/boxscore.aspx?id=7979&path=vball
Set #3,19,6,40,0.325,Endicott,2021-10-02,13:31:00,"                 Middlebury, VT (Pepin Gymnasium)

",50,https://clarksonathletics.com/boxscore.aspx?id=7979&path=vball
Set #1,10,3,35,0.2,Clarkson,2021-10-02,13:31:00,"                 Middlebury, VT (Pepin Gymnasium)

",50,https://clarksonathletics.com/boxscore.aspx?id=7979&path=vball
Set #2,9,4,41,0.122,Clarkson,2021-10-02,13:31:00,"                 Middlebury, VT (Pepin Gymnasium)

",50,https://clarksonathletics.com/boxscore.aspx?id=7979&path=vball
Set #3,17,4,44,0.295,Clarkson,2021-10-02,13:31:00,"                 Middlebury, VT (Pepin Gymnasium)

",50,https://clarksonathletics.com/boxscore.aspx?id=7979&path=vball
Set #1,17,8,59,.153,Clarkson,2021-10-02,15:37:00,"                 Middlebury, VT (Pepin Gymnasium)

",100,https://clarksonathletics.com/boxscore.aspx?id=7980&path=vball
Set #2,11,7,47,.085,Clarkson,2021-10-02,15:37:00,"                 Middlebury, VT (Pepin Gymnasium)

",100,https://clarksonathletics.com/boxscore.aspx?id=7980&path=vball
Set #3,18,6,50,.240,Clarkson,2021-10-02,15:37:00,"                 Middlebury, VT (Pepin Gymnasium)

",100,https://clarksonathletics.com/boxscore.aspx?id=7980&path=vball
Set #4,15,7,44,.182,Clarkson,2021-10-02,15:37:00,"                 Middlebury, VT (Pepin Gymnasium)

",100,https://clarksonathletics.com/boxscore.aspx?id=7980&path=vball
Set #1,14,4,56,.179,Middlebury,2021-10-02,15:37:00,"                 Middlebury, VT (Pepin Gymnasium)

",100,https://clarksonathletics.com/boxscore.aspx?id=7980&path=vball
Set #2,12,4,39,.205,Middlebury,2021-10-02,15:37:00,"                 Middlebury, VT (Pepin Gymnasium)

",100,https://clarksonathletics.com/boxscore.aspx?id=7980&path=vball
Set #3,15,2,48,.271,Middlebury,2021-10-02,15:37:00,"                 Middlebury, VT (Pepin Gymnasium)

",100,https://clarksonathletics.com/boxscore.aspx?id=7980&path=vball
Set #4,13,1,40,.300,Middlebury,2021-10-02,15:37:00,"                 Middlebury, VT (Pepin Gymnasium)

",100,https://clarksonathletics.com/boxscore.aspx?id=7980&path=vball
Set #1,4,2,17,0.118,Bard,2021-10-08,19:04:00,"                 Potsdam, NY (Alumni Gymnasium)

",85,https://clarksonathletics.com/boxscore.aspx?id=7981&path=vball
Set #2,4,7,25,-0.12,Bard,2021-10-08,19:04:00,"                 Potsdam, NY (Alumni Gymnasium)

",85,https://clarksonathletics.com/boxscore.aspx?id=7981&path=vball
Set #3,6,7,31,-0.032,Bard,2021-10-08,19:04:00,"                 Potsdam, NY (Alumni Gymnasium)

",85,https://clarksonathletics.com/boxscore.aspx?id=7981&path=vball
Set #1,10,1,17,0.529,Clarkson,2021-10-08,19:04:00,"                 Potsdam, NY (Alumni Gymnasium)

",85,https://clarksonathletics.com/boxscore.aspx?id=7981&path=vball
Set #2,12,4,27,0.296,Clarkson,2021-10-08,19:04:00,"                 Potsdam, NY (Alumni Gymnasium)

",85,https://clarksonathletics.com/boxscore.aspx?id=7981&path=vball
Set #3,12,6,32,0.188,Clarkson,2021-10-08,19:04:00,"                 Potsdam, NY (Alumni Gymnasium)

",85,https://clarksonathletics.com/boxscore.aspx?id=7981&path=vball
Set #1,7,8,30,-0.033,Vassar,2021-10-09,13:43:00,"                 Potsdam, NY (Alumni Gymnasium)

",50,https://clarksonathletics.com/boxscore.aspx?id=7982&path=vball
Set #2,2,4,34,-0.059,Vassar,2021-10-09,13:43:00,"                 Potsdam, NY (Alumni Gymnasium)

",50,https://clarksonathletics.com/boxscore.aspx?id=7982&path=vball
Set #3,7,6,30,0.033,Vassar,2021-10-09,13:43:00,"                 Potsdam, NY (Alumni Gymnasium)

",50,https://clarksonathletics.com/boxscore.aspx?id=7982&path=vball
Set #1,10,6,27,0.148,Clarkson,2021-10-09,13:43:00,"                 Potsdam, NY (Alumni Gymnasium)

",50,https://clarksonathletics.com/boxscore.aspx?id=7982&path=vball
Set #2,16,2,32,0.438,Clarkson,2021-10-09,13:43:00,"                 Potsdam, NY (Alumni Gymnasium)

",50,https://clarksonathletics.com/boxscore.aspx?id=7982&path=vball
Set #3,13,4,27,0.333,Clarkson,2021-10-09,13:43:00,"                 Potsdam, NY (Alumni Gymnasium)

",50,https://clarksonathletics.com/boxscore.aspx?id=7982&path=vball
Set #1,9,8,45,0.022,Clarkson,2021-10-15,18:04:00,"                 Glenside, PA (Alumni Gymnasium)

",76,https://clarksonathletics.com/boxscore.aspx?id=7983&path=vball
Set #2,8,7,32,0.031,Clarkson,2021-10-15,18:04:00,"                 Glenside, PA (Alumni Gymnasium)

",76,https://clarksonathletics.com/boxscore.aspx?id=7983&path=vball
Set #3,10,6,38,0.105,Clarkson,2021-10-15,18:04:00,"                 Glenside, PA (Alumni Gymnasium)

",76,https://clarksonathletics.com/boxscore.aspx?id=7983&path=vball
Set #4,16,6,42,0.238,Clarkson,2021-10-15,18:04:00,"                 Glenside, PA (Alumni Gymnasium)

",76,https://clarksonathletics.com/boxscore.aspx?id=7983&path=vball
Set #5,10,2,23,0.348,Clarkson,2021-10-15,18:04:00,"                 Glenside, PA (Alumni Gymnasium)

",76,https://clarksonathletics.com/boxscore.aspx?id=7983&path=vball
Set #1,13,6,44,0.159,Arcadia,2021-10-15,18:04:00,"                 Glenside, PA (Alumni Gymnasium)

",76,https://clarksonathletics.com/boxscore.aspx?id=7983&path=vball
Set #2,8,5,32,0.094,Arcadia,2021-10-15,18:04:00,"                 Glenside, PA (Alumni Gymnasium)

",76,https://clarksonathletics.com/boxscore.aspx?id=7983&path=vball
Set #3,7,8,39,-0.026,Arcadia,2021-10-15,18:04:00,"                 Glenside, PA (Alumni Gymnasium)

",76,https://clarksonathletics.com/boxscore.aspx?id=7983&path=vball
Set #4,7,5,33,0.061,Arcadia,2021-10-15,18:04:00,"                 Glenside, PA (Alumni Gymnasium)

",76,https://clarksonathletics.com/boxscore.aspx?id=7983&path=vball
Set #5,6,2,25,0.16,Arcadia,2021-10-15,18:04:00,"                 Glenside, PA (Alumni Gymnasium)

",76,https://clarksonathletics.com/boxscore.aspx?id=7983&path=vball
Set #1,4,9,45,-.111,Clarkson,2021-10-16,14:00:00,"                 Allentown, Pa. (Memorial Hall)

",44,https://clarksonathletics.com/boxscore.aspx?id=7984&path=vball
Set #2,10,7,32,.094,Clarkson,2021-10-16,14:00:00,"                 Allentown, Pa. (Memorial Hall)

",44,https://clarksonathletics.com/boxscore.aspx?id=7984&path=vball
Set #3,5,8,36,-.083,Clarkson,2021-10-16,14:00:00,"                 Allentown, Pa. (Memorial Hall)

",44,https://clarksonathletics.com/boxscore.aspx?id=7984&path=vball
Set #1,14,8,40,.150,Johns Hopkins,2021-10-16,14:00:00,"                 Allentown, Pa. (Memorial Hall)

",44,https://clarksonathletics.com/boxscore.aspx?id=7984&path=vball
Set #2,12,4,28,.286,Johns Hopkins,2021-10-16,14:00:00,"                 Allentown, Pa. (Memorial Hall)

",44,https://clarksonathletics.com/boxscore.aspx?id=7984&path=vball
Set #3,14,4,38,.263,Johns Hopkins,2021-10-16,14:00:00,"                 Allentown, Pa. (Memorial Hall)

",44,https://clarksonathletics.com/boxscore.aspx?id=7984&path=vball
Set #1,12,3,36,.250,Clarkson,2021-10-16,16:00:00,"                 Allentown, Pa. ()

",42,https://clarksonathletics.com/boxscore.aspx?id=7985&path=vball
Set #2,16,4,35,.343,Clarkson,2021-10-16,16:00:00,"                 Allentown, Pa. ()

",42,https://clarksonathletics.com/boxscore.aspx?id=7985&path=vball
Set #3,13,5,51,.157,Clarkson,2021-10-16,16:00:00,"                 Allentown, Pa. ()

",42,https://clarksonathletics.com/boxscore.aspx?id=7985&path=vball
Set #1,8,7,37,.027,Muhlenberg,2021-10-16,16:00:00,"                 Allentown, Pa. ()

",42,https://clarksonathletics.com/boxscore.aspx?id=7985&path=vball
Set #2,6,4,30,.067,Muhlenberg,2021-10-16,16:00:00,"                 Allentown, Pa. ()

",42,https://clarksonathletics.com/boxscore.aspx?id=7985&path=vball
Set #3,10,7,50,.060,Muhlenberg,2021-10-16,16:00:00,"                 Allentown, Pa. ()

",42,https://clarksonathletics.com/boxscore.aspx?id=7985&path=vball
