School,Abbrev. Name,h_a,set,points,Date,Time,Site,Attendance,url
"SUNY Canton
                                        ",    CANTON,Home,2,21,2013-09-06,16:00:00,"                 Canton, NY (Burkman Gym)

",110,https://rooathletics.com/boxscore.aspx?id=1236&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,3,24,2013-09-06,16:00:00,"                 Canton, NY (Burkman Gym)

",110,https://rooathletics.com/boxscore.aspx?id=1236&path=wvball
"St. Lawrence
                                     ",       SLU,Away,1,25,2013-09-06,16:00:00,"                 Canton, NY (Burkman Gym)

",110,https://rooathletics.com/boxscore.aspx?id=1236&path=wvball
"St. Lawrence
                                     ",       SLU,Away,2,25,2013-09-06,16:00:00,"                 Canton, NY (Burkman Gym)

",110,https://rooathletics.com/boxscore.aspx?id=1236&path=wvball
"St. Lawrence
                                     ",       SLU,Away,3,26,2013-09-06,16:00:00,"                 Canton, NY (Burkman Gym)

",110,https://rooathletics.com/boxscore.aspx?id=1236&path=wvball
"St. Michael's
                                     ",       STM,Home,1,17,2013-09-06,21:00:00,"                 Canton, NY (Burkman Gym)

",40,https://rooathletics.com/boxscore.aspx?id=1237&path=wvball
"St. Michael's
                                     ",       STM,Home,2,16,2013-09-06,21:00:00,"                 Canton, NY (Burkman Gym)

",40,https://rooathletics.com/boxscore.aspx?id=1237&path=wvball
"St. Michael's
                                     ",       STM,Home,3,25,2013-09-06,21:00:00,"                 Canton, NY (Burkman Gym)

",40,https://rooathletics.com/boxscore.aspx?id=1237&path=wvball
"St. Michael's
                                     ",       STM,Home,4,22,2013-09-06,21:00:00,"                 Canton, NY (Burkman Gym)

",40,https://rooathletics.com/boxscore.aspx?id=1237&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,1,25,2013-09-06,21:00:00,"                 Canton, NY (Burkman Gym)

",40,https://rooathletics.com/boxscore.aspx?id=1237&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,2,25,2013-09-06,21:00:00,"                 Canton, NY (Burkman Gym)

",40,https://rooathletics.com/boxscore.aspx?id=1237&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,3,22,2013-09-06,21:00:00,"                 Canton, NY (Burkman Gym)

",40,https://rooathletics.com/boxscore.aspx?id=1237&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,4,25,2013-09-06,21:00:00,"                 Canton, NY (Burkman Gym)

",40,https://rooathletics.com/boxscore.aspx?id=1237&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,1,25,2013-09-07,NA,"                 Potsdam, N.Y. (Maxcy Field House)

",54,https://rooathletics.com/boxscore.aspx?id=1238&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,2,25,2013-09-07,NA,"                 Potsdam, N.Y. (Maxcy Field House)

",54,https://rooathletics.com/boxscore.aspx?id=1238&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,3,25,2013-09-07,NA,"                 Potsdam, N.Y. (Maxcy Field House)

",54,https://rooathletics.com/boxscore.aspx?id=1238&path=wvball
"SUNY Potsdam
                                         ",   POTVB13,Away,1,11,2013-09-07,NA,"                 Potsdam, N.Y. (Maxcy Field House)

",54,https://rooathletics.com/boxscore.aspx?id=1238&path=wvball
"SUNY Potsdam
                                         ",   POTVB13,Away,2,19,2013-09-07,NA,"                 Potsdam, N.Y. (Maxcy Field House)

",54,https://rooathletics.com/boxscore.aspx?id=1238&path=wvball
"SUNY Potsdam
                                         ",   POTVB13,Away,3,19,2013-09-07,NA,"                 Potsdam, N.Y. (Maxcy Field House)

",54,https://rooathletics.com/boxscore.aspx?id=1238&path=wvball
"Norwich
                                     ",       NOR,Home,1,7,2013-09-07,NA,"                 Potsdam, N.Y. (Welsh Gym)

",42,https://rooathletics.com/boxscore.aspx?id=1239&path=wvball
"Norwich
                                     ",       NOR,Home,2,12,2013-09-07,NA,"                 Potsdam, N.Y. (Welsh Gym)

",42,https://rooathletics.com/boxscore.aspx?id=1239&path=wvball
"Norwich
                                     ",       NOR,Home,3,15,2013-09-07,NA,"                 Potsdam, N.Y. (Welsh Gym)

",42,https://rooathletics.com/boxscore.aspx?id=1239&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,1,25,2013-09-07,NA,"                 Potsdam, N.Y. (Welsh Gym)

",42,https://rooathletics.com/boxscore.aspx?id=1239&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,2,25,2013-09-07,NA,"                 Potsdam, N.Y. (Welsh Gym)

",42,https://rooathletics.com/boxscore.aspx?id=1239&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,3,25,2013-09-07,NA,"                 Potsdam, N.Y. (Welsh Gym)

",42,https://rooathletics.com/boxscore.aspx?id=1239&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,1,25,2013-09-10,19:00:00,"                 Plattsburgh, N.Y. (Memorial Hall)

",178,https://rooathletics.com/boxscore.aspx?id=1204&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,2,22,2013-09-10,19:00:00,"                 Plattsburgh, N.Y. (Memorial Hall)

",178,https://rooathletics.com/boxscore.aspx?id=1204&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,3,25,2013-09-10,19:00:00,"                 Plattsburgh, N.Y. (Memorial Hall)

",178,https://rooathletics.com/boxscore.aspx?id=1204&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,4,25,2013-09-10,19:00:00,"                 Plattsburgh, N.Y. (Memorial Hall)

",178,https://rooathletics.com/boxscore.aspx?id=1204&path=wvball
"Plattsburgh State
                                          ",  PLATVB13,Away,1,19,2013-09-10,19:00:00,"                 Plattsburgh, N.Y. (Memorial Hall)

",178,https://rooathletics.com/boxscore.aspx?id=1204&path=wvball
"Plattsburgh State
                                          ",  PLATVB13,Away,2,25,2013-09-10,19:00:00,"                 Plattsburgh, N.Y. (Memorial Hall)

",178,https://rooathletics.com/boxscore.aspx?id=1204&path=wvball
"Plattsburgh State
                                          ",  PLATVB13,Away,3,21,2013-09-10,19:00:00,"                 Plattsburgh, N.Y. (Memorial Hall)

",178,https://rooathletics.com/boxscore.aspx?id=1204&path=wvball
"Plattsburgh State
                                          ",  PLATVB13,Away,4,22,2013-09-10,19:00:00,"                 Plattsburgh, N.Y. (Memorial Hall)

",178,https://rooathletics.com/boxscore.aspx?id=1204&path=wvball
"Paul Smith's College
                                          ",  PAUSMITH,Home,1,14,2013-09-14,11:00:00,"                 Canton, NY (Roos House)

",60,https://rooathletics.com/boxscore.aspx?id=1205&path=wvball
"Paul Smith's College
                                          ",  PAUSMITH,Home,2,12,2013-09-14,11:00:00,"                 Canton, NY (Roos House)

",60,https://rooathletics.com/boxscore.aspx?id=1205&path=wvball
"Paul Smith's College
                                          ",  PAUSMITH,Home,3,11,2013-09-14,11:00:00,"                 Canton, NY (Roos House)

",60,https://rooathletics.com/boxscore.aspx?id=1205&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,1,25,2013-09-14,11:00:00,"                 Canton, NY (Roos House)

",60,https://rooathletics.com/boxscore.aspx?id=1205&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,2,25,2013-09-14,11:00:00,"                 Canton, NY (Roos House)

",60,https://rooathletics.com/boxscore.aspx?id=1205&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,3,25,2013-09-14,11:00:00,"                 Canton, NY (Roos House)

",60,https://rooathletics.com/boxscore.aspx?id=1205&path=wvball
"Johnson State
                                      ",      JSCW,Home,1,6,2013-09-14,14:00:00,"                 Canton, NY (Roos House)

",68,https://rooathletics.com/boxscore.aspx?id=1206&path=wvball
"Johnson State
                                      ",      JSCW,Home,2,10,2013-09-14,14:00:00,"                 Canton, NY (Roos House)

",68,https://rooathletics.com/boxscore.aspx?id=1206&path=wvball
"Johnson State
                                      ",      JSCW,Home,3,14,2013-09-14,14:00:00,"                 Canton, NY (Roos House)

",68,https://rooathletics.com/boxscore.aspx?id=1206&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,1,25,2013-09-14,14:00:00,"                 Canton, NY (Roos House)

",68,https://rooathletics.com/boxscore.aspx?id=1206&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,2,25,2013-09-14,14:00:00,"                 Canton, NY (Roos House)

",68,https://rooathletics.com/boxscore.aspx?id=1206&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,3,25,2013-09-14,14:00:00,"                 Canton, NY (Roos House)

",68,https://rooathletics.com/boxscore.aspx?id=1206&path=wvball
"Green Mountain
                                     ",       GMC,Home,1,8,2013-09-21,11:00:00,"                 Castleton, VT (Spartan Athletic Com)

",16,https://rooathletics.com/boxscore.aspx?id=1208&path=wvball
"Green Mountain
                                     ",       GMC,Home,2,14,2013-09-21,11:00:00,"                 Castleton, VT (Spartan Athletic Com)

",16,https://rooathletics.com/boxscore.aspx?id=1208&path=wvball
"Green Mountain
                                     ",       GMC,Home,3,19,2013-09-21,11:00:00,"                 Castleton, VT (Spartan Athletic Com)

",16,https://rooathletics.com/boxscore.aspx?id=1208&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,1,25,2013-09-21,11:00:00,"                 Castleton, VT (Spartan Athletic Com)

",16,https://rooathletics.com/boxscore.aspx?id=1208&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,2,25,2013-09-21,11:00:00,"                 Castleton, VT (Spartan Athletic Com)

",16,https://rooathletics.com/boxscore.aspx?id=1208&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,3,25,2013-09-21,11:00:00,"                 Castleton, VT (Spartan Athletic Com)

",16,https://rooathletics.com/boxscore.aspx?id=1208&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,1,25,2013-09-21,01:25:00,"                 Castleton, Vt. (Glenbrook Gym)

",108,https://rooathletics.com/boxscore.aspx?id=1209&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,2,25,2013-09-21,01:25:00,"                 Castleton, Vt. (Glenbrook Gym)

",108,https://rooathletics.com/boxscore.aspx?id=1209&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,3,25,2013-09-21,01:25:00,"                 Castleton, Vt. (Glenbrook Gym)

",108,https://rooathletics.com/boxscore.aspx?id=1209&path=wvball
"Castleton
                                     ",       CST,Away,1,10,2013-09-21,01:25:00,"                 Castleton, Vt. (Glenbrook Gym)

",108,https://rooathletics.com/boxscore.aspx?id=1209&path=wvball
"Castleton
                                     ",       CST,Away,2,10,2013-09-21,01:25:00,"                 Castleton, Vt. (Glenbrook Gym)

",108,https://rooathletics.com/boxscore.aspx?id=1209&path=wvball
"Castleton
                                     ",       CST,Away,3,12,2013-09-21,01:25:00,"                 Castleton, Vt. (Glenbrook Gym)

",108,https://rooathletics.com/boxscore.aspx?id=1209&path=wvball
"ALFRED
                                        ",    ALFRED,Home,1,18,2013-09-27,18:00:00,"                 Marcy, N.Y. (Wildcat Field House)

",66,https://rooathletics.com/boxscore.aspx?id=1210&path=wvball
"ALFRED
                                        ",    ALFRED,Home,2,19,2013-09-27,18:00:00,"                 Marcy, N.Y. (Wildcat Field House)

",66,https://rooathletics.com/boxscore.aspx?id=1210&path=wvball
"ALFRED
                                        ",    ALFRED,Home,3,9,2013-09-27,18:00:00,"                 Marcy, N.Y. (Wildcat Field House)

",66,https://rooathletics.com/boxscore.aspx?id=1210&path=wvball
